epoch,epoch_seconds,test_relative_l2,train_loss
1,30.557221859693527,0.11510515823960304,0.14255791825056077
2,29.823263246566057,0.11403698503971099,0.11110013651847839
3,29.88948342204094,0.10834028273820877,0.10703178691864014
4,29.881700426340103,0.1105323275923729,0.10574548026919364
5,29.942042618989944,0.10734626039862633,0.1045200782418251
6,29.879436492919922,0.10714240580797195,0.10468986541032792
7,29.89534218981862,0.10660041198134422,0.10455636340379715
8,29.89032618701458,0.10518879905343055,0.10418614408373833
9,29.88562809303403,0.10486522197723389,0.10307453814148902
10,29.753909271210432,0.0952342015504837,0.09922105267643928
11,29.889967162162066,0.0984536862373352,0.0962951355278492
12,29.880431082099676,0.10081230446696282,0.09560164505243302
13,29.890684496611357,0.09351155072450638,0.09578584232926368
14,29.855034183710814,0.09026742815971374,0.09231326444447041
15,29.90858407318592,0.08129412576556205,0.0905283323675394
16,29.913969587534666,0.08494718670845032,0.09061424893140793
17,29.802352227270603,0.089103332310915,0.08495307372510433
18,29.84124106913805,0.07704542554914952,0.08379700431227684
19,29.782560408115387,0.07370748668909073,0.07907392489910126
20,29.861998680979013,0.0843571437895298,0.07487699854373932
21,29.84199047461152,0.09100600093603134,0.07587920200824738
22,29.869724739342928,0.07327185064554215,0.07723879082500934
23,29.85669833049178,0.0929938192665577,0.07881900350749492
24,29.826519649475813,0.07305950716137886,0.07820880205929279
25,29.81564786657691,0.0678661198914051,0.07452006402611733
26,29.82228171080351,0.06499075710773468,0.069568612575531
27,29.843236170709133,0.05812864497303963,0.06603449007868767
28,29.918717801570892,0.07965774863958358,0.06473618042469025
29,29.87361302226782,0.05710029236972332,0.06481947857141494
30,29.891771122813225,0.06817226074635982,0.060503828644752504
31,29.910587575286627,0.08355499595403672,0.06828794854879379
32,29.893453311175108,0.057806451469659806,0.06634978154301643
33,29.83918273821473,0.05047372691333294,0.06350188226997852
34,29.889894001185894,0.055538464933633805,0.06360996571183204
35,29.854727394878864,0.07359062120318413,0.060001611292362214
36,29.861603293567896,0.06792271517217159,0.05859212179481983
37,29.78897274658084,0.050926069542765615,0.05509177891910076
38,29.849139217287302,0.046296455562114716,0.05825457213073969
39,29.72707200795412,0.047236506566405295,0.05789021934568882
40,29.89372343197465,0.06398290157318115,0.055528217986226085
41,29.9253894649446,0.05213425897061825,0.0560688998401165
42,29.861210219562054,0.0563678003847599,0.05252548848092556
43,29.864299349486828,0.03914244495332241,0.055677417948842046
44,29.839266888797283,0.06020688064396382,0.05541933238506317
45,29.88649368658662,0.05085271589457989,0.051197905920445916
46,29.88902024552226,0.07600155524909497,0.056086278781294824
47,29.873832654207945,0.0720166328549385,0.052364608265459536
48,29.913889300078154,0.054695789739489555,0.04592425815016031
49,29.87868683040142,0.05003032073378563,0.04889362903684378
50,29.85251010581851,0.053226215243339536,0.04585848133265972
51,29.912012353539467,0.04322869151830673,0.04868476738035679
52,29.87049964442849,0.05945124253630638,0.04689796472340822
53,29.857580829411745,0.052212415263056755,0.0471687622666359
54,29.880110528320074,0.051931188106536866,0.052280936136841774
55,29.872689582407475,0.04295585699379444,0.045695700101554396
56,29.592071391642094,0.048407709524035454,0.049560995496809486
57,29.690027177333832,0.04669318795204162,0.04815870985388756
58,30.074722193181515,0.039688331745564936,0.04730806918442249
59,29.742765564471483,0.03638561625033617,0.044279531992971896
60,29.858418960124254,0.03523098990321159,0.04384119312465191
