epoch,epoch_seconds,test_relative_l2,train_relative_l2
1,24.078065436333418,0.3821503245830536,0.41249178351461885
2,24.022078726440668,0.2814156875759363,0.3313214694410562
3,23.652236707508564,0.21716160245239735,0.2503967512845993
4,23.33358957618475,0.171042456664145,0.20178562373667955
5,23.930278155952692,0.16654879316687585,0.1708188208937645
6,23.204441767185926,0.14472945477813481,0.14960787999629974
7,23.68700360506773,0.13142992656677963,0.13251434533298015
8,23.613023664802313,0.12096421733498573,0.12059516685456037
9,23.534010499715805,0.11517034117132426,0.10976338398829102
10,23.399886418133974,0.12170910950750112,0.09996829270198941
11,23.735192205756903,0.08849108057096601,0.09213519079983234
12,23.31327222660184,0.07443439699709416,0.08504448467493057
13,23.527332082390785,0.08010238379240037,0.08022493834421039
14,22.985626839101315,0.07489531449973583,0.07583411237597465
15,22.82996243610978,0.0695325462706387,0.07271126519888639
16,23.484970770776272,0.06675838017836214,0.06818374261632562
17,23.54512010142207,0.0591474886983633,0.0655677379667759
18,23.455425687134266,0.06298541797325015,0.06319260644167661
19,23.346241164952517,0.07073671897873282,0.062099221281707286
20,23.642803519964218,0.05319539360702038,0.06041175907850266
21,23.3934122659266,0.05401324110105634,0.05780892986059189
22,23.520329281687737,0.059831405077129605,0.05647149632871151
23,23.23858543485403,0.05247306458652019,0.055061570124700664
24,23.559184458106756,0.060127904321998354,0.05488169031590223
25,23.296363417059183,0.05443564174696803,0.05380704992823303
26,23.384953398257494,0.04964774921536445,0.052606105068698526
27,23.36929615586996,0.05234780104830861,0.05121339637599885
28,23.49019544199109,0.05026458252221346,0.04992195896245539
29,23.371201809495687,0.04645269124768674,0.04990476499684155
30,23.493640702217817,0.0483380751311779,0.04887936709076166
31,23.61295260116458,0.04645889727398753,0.047703444262966514
32,23.84147997573018,0.05825379395857453,0.04778483013249934
33,23.445529252290726,0.05034927973523736,0.046988129053264854
34,23.478716924786568,0.04234592997469008,0.04606831359863281
35,23.42118002101779,0.047383350785821676,0.04556202133558691
36,23.457014836370945,0.04306856805458665,0.044868894305080176
37,23.57928941771388,0.04635519338771701,0.0439522381350398
38,23.520263362675905,0.046127470266073944,0.043554417522624136
39,23.502889670431614,0.039495892580598595,0.042349749974906446
40,23.6327739469707,0.04238620961084962,0.042546073328703644
41,23.499595664441586,0.043726760102435945,0.04171939022652805
42,23.66593960672617,0.03934688269160688,0.041524552496150134
43,23.5790287964046,0.04363122860901058,0.041409368170425294
44,23.492942210286856,0.05257207260467112,0.0414503251388669
45,23.497401759028435,0.04154346700757742,0.04133783660270274
46,23.765513963997364,0.0423455473035574,0.040251759568229316
47,23.389242582023144,0.03920233646407723,0.04030283483117819
48,23.557996705174446,0.03962412086315453,0.03944011852517724
49,23.37790919840336,0.04183910741470754,0.03945132157765329
50,23.26195330172777,0.03983267831616104,0.03933677874691784
51,23.552350908517838,0.036066212095320224,0.038560619415715335
52,23.6653247512877,0.04709552560001612,0.03888992013968527
53,23.493923909962177,0.03856858399696648,0.037269900415092705
54,23.636611938476562,0.03517855160869658,0.036882988300174474
55,22.682514265179634,0.039662506189197304,0.03626390259712935
56,23.458322044461966,0.036326100565493104,0.03660360898263752
57,23.502659026533365,0.03491544716060162,0.0363750345595181
58,23.400046784430742,0.041978935804218055,0.036663911171257495
59,23.436683140695095,0.03672702261246741,0.03540062041021883
60,23.278844363987446,0.0332972817029804,0.0353080381937325
61,23.485617201775312,0.03795780473388732,0.03494820589385927
62,23.765784233808517,0.03472091656178236,0.03489437298290431
63,23.590735796839,0.03620842297561467,0.035030754387378696
64,23.467642668634653,0.036450860667973754,0.03496453783102334
65,23.631455942988396,0.031018105782568455,0.03434263292141259
66,23.524259760975838,0.036056756256148216,0.034288105189800265
67,23.44687330722809,0.041618126602843405,0.033819482119753955
68,23.3523350097239,0.036284717656672,0.033778425129130485
69,23.622414719313383,0.038051758855581284,0.03320874875038862
70,23.39504872262478,0.034516093712300064,0.0332812123876065
71,23.874966084957123,0.03209313105791807,0.032933258036151526
72,23.45205384120345,0.03449666053056717,0.03241058688983321
73,23.46066254749894,0.0296609278768301,0.03258590109460056
74,23.360722601413727,0.03175411572679877,0.032286927256733176
75,23.435984026640654,0.03173030792735517,0.03213937165029347
76,23.369797859340906,0.03198605039156974,0.031711781723424794
77,23.433954186737537,0.03165870144963265,0.03176415707543492
78,23.572287652641535,0.032201580926775934,0.0325493285767734
79,23.2678160071373,0.03355812813155353,0.031006592916324734
80,23.48026844114065,0.03317663110792637,0.031474483972415326
81,23.33574964106083,0.03301230476237833,0.031393268808722494
82,23.532481286674738,0.0336518482491374,0.030077884913422167
83,23.45641151815653,0.028694379953667522,0.030558862157166005
84,23.74630858004093,0.030748663675040006,0.030410861821845173
85,23.62843643128872,0.030163917848840358,0.029735349100083113
86,23.86194707453251,0.031009644474834203,0.029895593273453414
87,23.52693287655711,0.029188398029655217,0.02953982689231634
88,23.531626153737307,0.02955371679738164,0.029132611770182847
89,23.377503909170628,0.02769557585939765,0.029134840976446866
90,23.49800731241703,0.029065352017059922,0.028771631760522724
91,23.395014252513647,0.02959893496707082,0.028425781009718775
92,23.640537053346634,0.027665571197867393,0.028724126023240388
93,23.441717583686113,0.031235774392262102,0.02856240699440241
94,23.5400050021708,0.027544969990849495,0.029162518369965255
95,22.723366491496563,0.027467876328155397,0.028090277655050157
96,23.515754733234644,0.026550023066811264,0.028636186082847417
97,23.380347553640604,0.028634266098961234,0.02798808701336384
98,23.407677501440048,0.02707854892127216,0.02832939344830811
99,23.414541110396385,0.02680690602399409,0.02757458067126572
100,23.467590633779764,0.033707766300067304,0.027595839159563183
101,25.364319756627083,0.029551032008603217,0.027550370732322336
102,25.441781770437956,0.030399847626686096,0.02754863490909338
103,25.468195144087076,0.026232876321300863,0.027214522367343306
104,25.33045630902052,0.029977981587871908,0.026872251926921307
105,25.41421889141202,0.025991889610886575,0.026648508884012698
106,25.769178938120604,0.03219998958520591,0.026700636408291758
107,25.40784328058362,0.027942004138603805,0.026282796753570436
108,26.583466820418835,0.027538546631112694,0.026479940213263036
109,36.859138797968626,0.026311673764139412,0.026141307132318617
110,36.86889764294028,0.026479928148910405,0.025968697242438794
111,36.903576247394085,0.026819692635908724,0.025792903613299133
112,36.91823806613684,0.024642618536017836,0.0261924535240978
113,39.29185073450208,0.025741765387356282,0.025796228202059866
114,36.96871582791209,0.02698321709409356,0.025536000377498567
115,36.884673062711954,0.025764261167496444,0.025858455133624374
116,36.95617135241628,0.026275641582906246,0.025402320316061378
117,36.95898327603936,0.025042892200872302,0.025252576870843767
118,37.01478609442711,0.026551640713587402,0.02522789949644357
119,36.96360693871975,0.025063733886927366,0.025479100833646955
120,36.83795553818345,0.02504364668391645,0.024730367441661655
121,36.98365954682231,0.02462086237035692,0.024302851508371533
122,36.990088898688555,0.026370504265651108,0.02434555921331048
123,36.91800678148866,0.024223867785185576,0.02458102141972631
124,36.94269969314337,0.02305000083055347,0.024582068637944758
125,36.95842910185456,0.024879788206890227,0.024468690908513963
126,36.83936990424991,0.023931336384266616,0.02470310503523797
127,36.90657215937972,0.02475269670598209,0.02429965759254992
128,36.97444109246135,0.026127866422757506,0.024239373055286704
129,36.887581411749125,0.026147857028990983,0.023882267308421433
130,36.90728589147329,0.024573289565742017,0.02359215921442956
131,37.03509233519435,0.023571581481955945,0.023930138183757662
132,36.935875952243805,0.026433185674250126,0.023869787015020846
133,36.98221195861697,0.023579512001015247,0.02340504397917539
134,36.94355623424053,0.023430729592218993,0.0232253432655707
135,36.88943161070347,0.025151978563517332,0.023418517687357962
136,37.2715622484684,0.023345012804493307,0.023453658604994418
137,37.00800705328584,0.02476229208521545,0.022984210213646293
138,36.92849541828036,0.02296295559965074,0.022803655983880164
139,32.95471507683396,0.02410110239870846,0.022623860348947346
140,26.750226464122534,0.022927720760926605,0.02291370121575892
141,27.91358209401369,0.02324893159791827,0.023092354079708458
142,26.97126079723239,0.027363296933472156,0.02250661727786064
143,26.937135487794876,0.02451169095467776,0.022502312363125384
144,36.481275610625744,0.02168833002448082,0.022180845828726887
145,36.66615381091833,0.02096606784965843,0.02189640299230814
146,36.574546586722136,0.02636059737764299,0.021966920749284326
147,36.51900339126587,0.0226801635324955,0.022320515505969526
148,36.37313088029623,0.02214514455292374,0.021781184420920908
149,36.57605630531907,0.022222817093133927,0.02226933948788792
150,36.48219358921051,0.022564010326750577,0.02163218463025987
151,36.46085396409035,0.024384626587852835,0.02147657052241266
152,36.68918948993087,0.021917059393599628,0.021865202967077495
153,36.47574694082141,0.02144835046492517,0.0214553519487381
154,36.49771785363555,0.02503289476968348,0.021641517665237187
155,36.48723002895713,0.02197543015703559,0.021564779408276082
156,36.47857301309705,0.023015634696930645,0.021244647108018398
157,36.56939223781228,0.020804143832065164,0.02122406554222107
158,36.60473654046655,0.02307798860128969,0.02103972356952727
159,36.5035702586174,0.021196125629357992,0.021372565576806665
160,36.49047965556383,0.022687874687835573,0.021016578128561378
161,36.63075502961874,0.020696076583117246,0.02057333506271243
162,36.54866409674287,0.020606497260741888,0.021180628585629167
163,36.61048933118582,0.020362276216037572,0.020678664055652916
164,36.46732648834586,0.020901505649089814,0.02056173777766526
165,36.45879299938679,0.02225164489354938,0.020177614994347094
