sample_index,relative_l2
0,0.005182336887574659
1,0.006959397785725883
2,0.003780559656042563
3,0.0027762848979670566
4,0.010631046850047322
5,0.008822089300678966
6,0.007629555307171881
7,0.003419533206942102
8,0.0074967102961511
9,0.010437330672946284
10,0.003343415456294103
11,0.006301962104432445
12,0.002979047894778239
13,0.005048067913750075
14,0.003576316652570075
15,0.01111118701736767
16,0.004254575626774603
17,0.004301339559094936
18,0.008726139421951712
19,0.004347964627197445
20,0.004963589022217283
21,0.004084314329892132
22,0.003411670156200026
23,0.00926112558258302
24,0.004492535570778545
25,0.006644186117927588
26,0.010607143188897406
27,0.005641147107698825
28,0.009509544817318851
29,0.006057833347533126
30,0.005698767281767992
31,0.005235154982538909
32,0.0029803163517801655
33,0.006513503944889263
34,0.004449941782279443
35,0.007142891492695949
36,0.006608015987446258
37,0.0032614162505605754
38,0.005922555881809789
39,0.005602166147555685
40,0.002857862243769188
41,0.005147418795437959
42,0.005053922388579939
43,0.003061218004453378
44,0.002646298118909751
45,0.0039041840903605387
46,0.005533646858636005
47,0.005883549208547918
48,0.0110155192423564
49,0.006081865638935641
50,0.0057428540231349605
51,0.0076519403885560115
52,0.005581789752018428
53,0.009785178767949515
54,0.004631354845124441
55,0.003742634362562094
56,0.0028816328233091247
57,0.003346688719057323
58,0.0046368872139517636
59,0.0038605644353018973
60,0.00644194549358636
61,0.015341698021551815
62,0.004069942992635016
63,0.00745306180330559
64,0.010594547044422522
65,0.0033748708584595928
66,0.003557076013381631
67,0.008152388705263731
68,0.004014805028537144
69,0.004452648785696995
70,0.008400275757262106
71,0.008886082666765306
72,0.0045005395436994375
73,0.002251527805483972
74,0.004173369817925257
75,0.010798337808832558
76,0.007111258362913455
77,0.006013998956959351
78,0.0025603439784917313
79,0.0028486329649022152
80,0.0039352864050908685
81,0.0054817808175235076
82,0.007627607574971796
83,0.008533442099942688
84,0.005422650644800738
85,0.009845334492686632
86,0.0052286693901574845
87,0.00393963294006454
88,0.005320788635222371
89,0.005480055883871624
90,0.006559616514834743
91,0.006719766405495447
92,0.01018533671669197
93,0.0048413231815799835
94,0.004175085330652225
95,0.006458783374570127
96,0.0022109726993466555
97,0.0035838259719649644
98,0.004357899729048662
99,0.005996554367268244
100,0.005780899256903701
101,0.00249316200424626
102,0.0053857105446636225
103,0.006090140426520664
104,0.010177016620121769
105,0.005217230834019112
106,0.010294917864851661
107,0.0020562360552311885
108,0.006988394938663545
109,0.0037226167104855846
110,0.005155699005465565
111,0.006114252514958154
112,0.006884169587418012
113,0.0048056943034894455
114,0.006997737769617911
115,0.003975958698319591
116,0.007135205514674423
117,0.004896303468205076
118,0.002452170359753423
119,0.00395769956213883
120,0.0052925036067274535
121,0.004864535448687703
122,0.0041838624113250174
123,0.00497946911479261
124,0.0036167142423983983
125,0.008470172903942601
126,0.0028567989151227382
127,0.0050192982320449745
128,0.004589568105484534
129,0.004332529078362238
130,0.004782020673840552
131,0.004376570257772759
132,0.0033969262748908295
133,0.0039301583831688825
134,0.005590868507962576
135,0.005651730887120266
136,0.007564186104695061
137,0.004716745865188028
138,0.008303801976125345
139,0.0035865920110525213
140,0.007106174087138531
141,0.006249103771835384
142,0.010152422988412334
143,0.003586119903966933
144,0.004996263995345926
145,0.006094838308518526
146,0.0045814008092838615
147,0.01040380488633913
148,0.00476456726226434
149,0.0022682697663709466
150,0.0052714953957818025
151,0.00468762080443861
152,0.002497507513818083
153,0.005702469298535782
154,0.004149366489120773
155,0.0030232156746047008
156,0.0026421665968488907
157,0.0034601649127518033
158,0.004250311456622012
159,0.005831616979272539
160,0.003406522108069168
161,0.003937146316671383
162,0.005986973402602044
163,0.006628491449657948
164,0.002907147913106553
165,0.003263438827379821
166,0.005144201405223849
167,0.006147249670241121
168,0.006982077315442983
169,0.005051795124044642
170,0.004695491506457721
171,0.005387631625027991
172,0.008650125428338902
173,0.0063585132643039785
174,0.007723923108490254
175,0.019865389700489115
176,0.00799596104197624
177,0.006262444778038952
178,0.0036449046813415136
179,0.005760545203785674
180,0.00436478770831272
181,0.0046726844986878695
182,0.00693855549769579
183,0.006871872005769624
184,0.003214286062372532
185,0.003656012781575454
186,0.002569985668158497
187,0.008215375984017174
188,0.0022805990927778803
189,0.005420720503819199
190,0.01013994754244313
191,0.004189915531455086
192,0.0049601472999053165
193,0.003242441543132699
194,0.0027533757611604955
195,0.005150617900222758
196,0.0032071699795169313
197,0.004069570711705869
198,0.010774658498497538
199,0.010154877990059888
