derivative_loss,epoch,epoch_seconds,test_relative_l2,train_relative_l2
1.4243458058195568,1,18.33040900155902,0.24770177729297133,0.2537006998137244
1.1213319126921317,2,17.332419499754906,0.2249191022454427,0.21541123042974358
0.9299824853685803,3,17.79784433171153,0.1684638425302094,0.16919220361640175
0.7875222100754488,4,17.352041605859995,0.13261397455597726,0.1377012689950162
0.7477034660672316,5,18.605446111410856,0.13634864999168972,0.12712273201630273
0.6959286031770866,6,17.42851895466447,0.10442119362975599,0.11553913932625223
0.6843507836776651,7,17.408431701362133,0.12230597866698695,0.10952779687045157
0.674872974485533,8,17.217077497392893,0.11178898075158507,0.11016226958155538
0.653207578497544,9,17.529547713696957,0.09837674530337288,0.104888333155281
0.6370890698995659,10,17.329277396202087,0.09968302969191349,0.09923463445382427
0.6082116087411212,11,17.45989741757512,0.09296439114352797,0.0937624906659785
0.596658088282177,12,17.449028059840202,0.10176391179409833,0.0918692516183789
0.5914963792521345,13,17.322281423956156,0.08718401859893071,0.0885831334655006
0.578766438589357,14,17.292331349104643,0.08787842647111052,0.0887879923513789
0.5665468357157755,15,17.579046051949263,0.08329132815623101,0.08408767459120699
0.5495480574729752,16,17.397548377513885,0.08608444100622892,0.08125387049809438
0.5497986381586688,17,17.278952062129974,0.07806101179740739,0.08321871286671984
0.5364323292683468,18,17.45200553536415,0.08068361064621277,0.07703690334048291
0.5358772157078722,19,17.220590490847826,0.07232455664131393,0.07864919419915825
0.533683156170339,20,17.538077265024185,0.085838827438738,0.0772442163454546
0.5307951112888226,21,17.33220386132598,0.08359035089458092,0.07777214338892177
0.5218529605632051,22,17.474859409034252,0.07440793698260878,0.0743518541979858
0.5044293611775685,23,17.443753477185965,0.06679711058606061,0.07105707189677415
0.5000542412858037,24,17.50656359642744,0.07297441519043973,0.07197625665208157
0.49900866927845405,25,17.29765436798334,0.07645982306266272,0.06920304868927504
0.4913753443407193,26,17.437000516802073,0.07071766998442602,0.06927730022799053
0.4741840957084446,27,17.33665105327964,0.06981028925534936,0.068408869584386
0.480526112332389,28,17.391626685857773,0.07660144251526951,0.06857831188331187
0.472760586346152,29,17.552696730941534,0.06479349470259267,0.06746249563592863
0.45351595344834256,30,17.304189119488,0.0740914621115183,0.06500128849528235
0.4472900607427356,31,17.494250550866127,0.06443549386851712,0.06318821987359774
0.4392062140559261,32,17.364055782556534,0.06357525215826067,0.06258021243673308
0.4331452384976263,33,17.475640445947647,0.07889187658908456,0.06311385978119646
0.41992456480475404,34,17.31663927063346,0.06375446162422134,0.06134403881804143
0.41329823445783465,35,17.160126477479935,0.05929508623999446,0.05939681911475619
0.4103144015615833,36,17.379589218646288,0.05248111041030147,0.05889880068973929
0.3806501829406909,37,17.468208495527506,0.05450330339619841,0.05446177910853072
0.3745023950395027,38,17.322505861520767,0.050744368930832284,0.054265333455047284
0.35750991018246486,39,17.445569023489952,0.04859789591770549,0.05114428099640733
0.3460431593466912,40,17.334951531141996,0.04806489098428328,0.05108328407155557
0.3430151032493837,41,17.467505782842636,0.05724461776007621,0.05112761444935313
0.3306603188296881,42,17.377689756453037,0.04652509440332731,0.04916885682272846
0.3293843845098327,43,17.30671603232622,0.04636602470300215,0.04900534312393469
0.3194404027527492,44,17.598662860691547,0.050556185687854444,0.04699853638516731
0.31372163337862713,45,17.33113233372569,0.043029418283415624,0.045434883840728385
0.30739121768647604,46,17.467115748673677,0.057049957130803575,0.04416791125350225
0.29450068468124235,47,17.347078297287226,0.04339667613821382,0.04377526619847402
0.2883731421142578,48,17.46876684203744,0.037583458731061996,0.0421603877402012
0.28206951624782034,49,17.342819958925247,0.043711298324078725,0.04012671590787669
0.2815041207451437,50,17.337530490010977,0.04117717271956645,0.04058774570671807
0.2728696088898029,51,17.31951694190502,0.037753393818592634,0.03961837746949577
0.27815310481187666,52,17.45879203826189,0.03468872461640185,0.041009768566393864
0.2648675633262404,53,17.229612205177546,0.04153030767795763,0.03931816874138295
0.25868895270927406,54,17.408688131719828,0.04069968334316796,0.03783964090332868
0.25941948448695284,55,17.356114499270916,0.03595722172260883,0.038248288490124085
0.2461137474060796,56,17.306119941174984,0.03639083191412411,0.03620116896095939
0.2445906768773249,57,17.455618478357792,0.03559689506571178,0.03601474441845909
0.2433587719833419,58,17.316788744181395,0.03878105711601875,0.03618968082279286
0.2406107238871907,59,17.45309878513217,0.031150504014737762,0.03650331000966165
0.23195961502180487,60,17.35640547424555,0.04243690243596174,0.033868995498430664
0.23031458491174173,61,17.457140147686005,0.033080266764347444,0.034569418525157734
0.22409963371236946,62,17.225675094872713,0.03601746309923075,0.03295869916944216
