sample_index,relative_l2
0,0.00834341999143362
1,0.0049895793199539185
2,0.005168869160115719
3,0.00793091207742691
4,0.011621308512985706
5,0.008057407103478909
6,0.006485551595687866
7,0.004685640335083008
8,0.008512814529240131
9,0.0068412059918046
10,0.005600728560239077
11,0.010310251265764236
12,0.00811980664730072
13,0.008421216160058975
14,0.006733915768563747
15,0.007661552168428898
16,0.010130113922059536
17,0.010359055362641811
18,0.004913611337542534
19,0.007081860676407814
20,0.006873270031064749
21,0.00541121419519186
22,0.007918382994830608
23,0.008255066350102425
24,0.007409659214317799
25,0.00893209595233202
26,0.007018260192126036
27,0.011295690201222897
28,0.009057002142071724
29,0.008129375986754894
30,0.004599383566528559
31,0.004394813906401396
32,0.006473284214735031
33,0.007354182191193104
34,0.009112998843193054
35,0.0076257092878222466
36,0.012133833020925522
37,0.010075847618281841
38,0.004015997517853975
39,0.007270669098943472
40,0.005334131885319948
41,0.0053238412365317345
42,0.009618095122277737
43,0.005871192552149296
44,0.006148438900709152
45,0.009425632655620575
46,0.006761644966900349
47,0.006960521452128887
48,0.006360024679452181
49,0.009486742317676544
50,0.005160639062523842
51,0.01110497210174799
52,0.010266594588756561
53,0.008897238411009312
54,0.0119645856320858
55,0.006421495694667101
56,0.008651675656437874
57,0.008149462752044201
58,0.009167100302875042
59,0.006357581354677677
60,0.005478291306644678
61,0.006568915210664272
62,0.006568760611116886
63,0.00962554756551981
64,0.005818093195557594
65,0.006844351999461651
66,0.004662653431296349
67,0.009658968076109886
68,0.0065930807031691074
69,0.007499870378524065
70,0.0096957478672266
71,0.011009064503014088
72,0.0072034141048789024
73,0.004755169618874788
74,0.009061033837497234
75,0.006003578659147024
76,0.007122823968529701
77,0.007070841267704964
78,0.006065824534744024
79,0.011723076924681664
80,0.01298688817769289
81,0.00755989458411932
82,0.005286905448883772
83,0.006671937648206949
84,0.011564579792320728
85,0.00445985421538353
86,0.005404547788202763
87,0.005286728963255882
88,0.006372361443936825
89,0.007478760089725256
90,0.014761742204427719
91,0.007960700429975986
92,0.007930639199912548
93,0.006201805546879768
94,0.014556936919689178
95,0.013735808432102203
96,0.010648558847606182
97,0.004025285132229328
98,0.008943901397287846
99,0.013024559244513512
100,0.009849339723587036
101,0.008926574140787125
102,0.005306760314851999
103,0.0058401054702699184
104,0.007413660176098347
105,0.0056151398457586765
106,0.010098672471940517
107,0.007076549809426069
108,0.006837286055088043
109,0.006805015727877617
110,0.009477549232542515
111,0.011675339192152023
112,0.007468688301742077
113,0.007595355622470379
114,0.003998152911663055
115,0.007924499921500683
116,0.006127594038844109
117,0.011691732332110405
118,0.014903810806572437
119,0.005536156240850687
120,0.005280942656099796
121,0.012147066183388233
122,0.00864320993423462
123,0.008330272510647774
124,0.015408934094011784
125,0.010271476581692696
126,0.008397366851568222
127,0.0065894657745957375
128,0.007915880531072617
129,0.007671635132282972
130,0.0045133717358112335
131,0.015443230979144573
132,0.005136570893228054
133,0.0058389524929225445
134,0.005050356965512037
135,0.006443829741328955
136,0.009242870844900608
137,0.01274311076849699
138,0.006098601501435041
139,0.011034431867301464
140,0.004383371211588383
141,0.007143447641283274
142,0.01145881786942482
143,0.012728782370686531
144,0.006761021446436644
145,0.004649639595299959
146,0.005038026254624128
147,0.006226200610399246
148,0.008352994918823242
149,0.0037446431815624237
150,0.006531849037855864
151,0.0073456126265227795
152,0.007358303293585777
153,0.005359052214771509
154,0.01610182411968708
155,0.008549277670681477
156,0.0133367283269763
157,0.014644240960478783
158,0.00890623964369297
159,0.00535378884524107
160,0.007283641025424004
161,0.004543468356132507
162,0.006024936679750681
163,0.00505328644067049
164,0.005007124040275812
165,0.01309102214872837
166,0.00891586858779192
167,0.005972262937575579
168,0.005573701113462448
169,0.005894900765269995
170,0.01118411123752594
171,0.0074043869972229
172,0.005752000957727432
173,0.017590725794434547
174,0.00883458275347948
175,0.007254228927195072
176,0.010226202197372913
177,0.010391338728368282
178,0.007502948399633169
179,0.006412001792341471
180,0.006937982514500618
181,0.00856369361281395
182,0.005552760791033506
183,0.004540713038295507
184,0.00450286315754056
185,0.0055745807476341724
186,0.010872510261833668
187,0.009179343469440937
188,0.01008542999625206
189,0.0092594800516963
190,0.012330258265137672
191,0.006932638585567474
192,0.005528527777642012
193,0.009212285280227661
194,0.006474214605987072
195,0.0053502339869737625
196,0.0068614184856414795
197,0.008289268240332603
198,0.005379085894674063
199,0.006652453448623419
