epoch,epoch_seconds,test_relative_l2,train_relative_l2
1,43.488893046975136,0.40936328172683717,0.41798741698265074
2,42.88198705390096,0.3960342526435852,0.40018095397949216
3,42.79090603813529,0.38096158862113955,0.3859020621776581
4,34.37592428177595,0.3707394862174988,0.37382418274879453
5,20.83585612475872,0.3565813946723938,0.3608071401119232
6,36.59626501053572,0.35417760014533994,0.35239101624488833
7,42.558114159852266,0.3469738626480103,0.3442397439479828
8,42.50431191548705,0.332566043138504,0.33400673627853394
9,42.603625331074,0.3257307875156403,0.31826796126365664
10,42.642333175987005,0.30704684972763063,0.30612389421463015
11,42.59218595921993,0.2904104495048523,0.293577197432518
12,42.22459442913532,0.26950438916683195,0.2801664221286774
13,42.53071699291468,0.2603940212726593,0.26290362417697904
14,42.471524115651846,0.24476151108741762,0.24441642427444457
15,42.552511144429445,0.1994532537460327,0.2187855511903763
16,42.26976079121232,0.18594188153743743,0.1922999106645584
17,42.53760128095746,0.16785971641540529,0.17139849090576173
18,42.53997962549329,0.16201288402080535,0.1586161972284317
19,42.576026413589716,0.1542325174808502,0.1399174929857254
20,42.662909150123596,0.13257114291191102,0.1350143319964409
21,42.668343499302864,0.15296660363674164,0.13326005321741105
22,42.51231684535742,0.13265459448099137,0.12954021215438843
23,42.78880661353469,0.128109410405159,0.12329917365312576
24,42.47689025104046,0.11230115175247192,0.1180936393737793
25,43.01605496928096,0.13130253553390503,0.11517874073982239
26,42.56865229830146,0.1054776018857956,0.11456166958808899
27,42.51374564319849,0.11255436956882477,0.10843787932395935
28,42.72727460414171,0.10919866740703582,0.10253950977325439
29,43.06942041218281,0.10886778831481933,0.10649225914478302
30,42.48869317770004,0.09422800838947296,0.09782001942396164
31,42.506497886031866,0.09209545969963073,0.09819398111104966
32,42.492816526442766,0.10201406240463257,0.10058866465091705
33,42.49316558241844,0.1056252333521843,0.10049985736608505
34,42.70329400524497,0.09653077840805054,0.09500171816349029
35,42.50547855719924,0.0907589116692543,0.08926588791608811
36,42.552129935473204,0.09062364101409912,0.08696952128410339
37,42.438900485634804,0.08816309601068496,0.08698528498411179
38,42.64646601676941,0.09038540720939636,0.08859777748584748
39,42.722807083278894,0.09005799651145935,0.08254026931524276
40,42.47571958601475,0.08247477442026138,0.08005873739719391
41,42.54657940194011,0.09710101187229156,0.08160023951530457
42,42.65549209713936,0.08793339997529984,0.08372894743084908
43,42.55061474442482,0.08814985662698746,0.08196550926566123
44,42.647128347307444,0.07876829147338867,0.0763393974006176
45,42.80823756754398,0.06916253387928009,0.0769181157052517
46,42.60964383929968,0.0747402948141098,0.06875004616379737
47,42.7486562654376,0.08379250407218933,0.0725355441570282
48,42.297860611230135,0.07600423991680146,0.07259577026963233
49,42.551933232694864,0.06584036648273468,0.06722042217850685
50,42.68142171949148,0.06718743279576302,0.06200201117992401
51,42.16101301461458,0.06786457821726799,0.062466237038373944
52,42.56630429625511,0.06615949258208274,0.06246691194176674
53,42.605343107134104,0.054051306396722794,0.06043429926037788
54,42.65905338153243,0.06164114758372307,0.057947315424680707
55,42.63368362933397,0.06240834414958954,0.05927107217907906
56,42.458776485174894,0.06308598965406417,0.056316557317972187
57,42.29636700078845,0.05934729635715485,0.05453275966644287
58,42.38970585912466,0.05244683101773262,0.052515335857868196
59,42.63701178133488,0.05057797893881798,0.04943923786282539
60,42.38937798887491,0.049325080513954164,0.04863995799422264
61,42.570735175162554,0.04463525518774986,0.04547509899735451
62,42.60032993555069,0.04915928289294243,0.04489844599366188
63,42.6492580100894,0.05401222676038742,0.0462485680282116
64,42.707497760653496,0.041204525977373126,0.04561308681964874
65,42.51491558179259,0.04359691023826599,0.041801136314868925
66,42.78337424248457,0.044346942454576495,0.04050957500934601
67,40.77010885626078,0.04183678805828094,0.04222968348860741
68,42.59658169001341,0.04159451022744179,0.040598017379641534
69,42.563041150569916,0.042588194012641904,0.04059693062305451
70,42.787658262997866,0.03922087013721466,0.03992657150328159
71,42.53110258281231,0.041088495850563046,0.038941865250468256
72,42.619992572814226,0.04074331164360046,0.03825653648376465
73,42.57406660169363,0.047237111926078795,0.03914250440895557
74,42.54389560595155,0.03823913931846619,0.0373795825690031
75,42.67703499272466,0.04008056879043579,0.03822172699868679
76,42.49832708388567,0.04326880589127541,0.03818675358593464
77,42.67875489220023,0.04144336894154549,0.038669772177934644
78,42.52914822474122,0.048123190253973006,0.03771055796742439
79,42.54278679564595,0.039068553298711776,0.03656700028479099
80,42.66464722529054,0.0342424088716507,0.03411167770624161
81,42.560994904488325,0.035137429535388946,0.03299059204757213
82,42.49623553082347,0.03587583258748055,0.03295074753463268
