dataset,run_directory,kernel,requested_epoch,source_validation_index,layer_i,layer_j,similarity
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,4,5,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,4,6,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,4,7,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,4,8,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,5,1,0.9999782704
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,5,2,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,5,3,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,5,4,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,5,5,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,5,6,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,5,7,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,5,8,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,6,1,0.9999777917
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,6,2,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,6,3,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,6,4,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,6,5,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,6,6,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,6,7,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,6,8,1
darcy,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/darcy/20260916_193756_darcy_UniPDE_train,full,0,1,7,1,0.9999780171
