dataset,run_directory,kernel,requested_epoch,source_validation_index,layer_i,layer_j,similarity
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,5,8,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,6,1,0.999852607
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,6,2,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,6,3,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,6,4,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,6,5,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,6,6,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,6,7,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,6,8,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,7,1,0.9998398423
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,7,2,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,7,3,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,7,4,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,7,5,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,7,6,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,7,7,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,7,8,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,8,1,0.9998395965
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,8,2,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,8,3,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,8,4,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,8,5,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,8,6,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,8,7,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,1,1,8,8,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,1,1,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,1,2,0.54589222
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,1,3,0.2950054815
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,1,4,0.264874788
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,1,5,0.5042391806
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,1,6,0.5332653616
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,1,7,0.531634063
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,1,8,0.4784724387
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,2,1,0.54589222
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,2,2,1
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,2,3,0.3561243047
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,2,4,0.3353063543
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,2,5,0.7823189776
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,2,6,0.9198972881
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,2,7,0.9403688665
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,2,8,0.7578239998
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,3,1,0.2950054815
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,3,2,0.3561243047
standard_airfoil,/home/hwz/Transolver/LINEARNO/monitor/analysis/transolver_monitor_output_20260917_074049/LINEARNO/monitor/output/standard_airfoil/20260916_193631_standard_airfoil_Transolver_train,full,100,100,3,3,1
