sample_index,relative_l2
0,0.002072191098704934
1,0.0017472037579864264
2,0.0017740962794050574
3,0.011563810519874096
4,0.00160027586389333
5,0.003093139035627246
6,0.00876332726329565
7,0.018773065879940987
8,0.0013106521219015121
9,0.006361726205796003
10,0.0013581938110291958
11,0.001777817727997899
12,0.0019445951329544187
13,0.0017888408619910479
14,0.0012626491952687502
15,0.0011069762986153364
16,0.013954447582364082
17,0.0013862840132787824
18,0.0010475685121491551
19,0.001433566794730723
20,0.0016191022004932165
21,0.0014821926597505808
22,0.0011320497142150998
23,0.001803393941372633
24,0.0019500796915963292
25,0.002529877470806241
26,0.00408026110380888
27,0.0013481775531545281
28,0.0009012566297315061
29,0.0010824782075360417
30,0.0017453746404498816
31,0.0011774940649047494
32,0.0022259813267737627
33,0.05460105463862419
34,0.004223055671900511
35,0.00597595376893878
36,0.04016276076436043
37,0.0020127666648477316
38,0.002863464644178748
39,0.002110877772793174
40,0.0022463733330368996
41,0.0009942513424903154
42,0.025204110890626907
43,0.0038728327490389347
44,0.0010098542552441359
45,0.0012456364929676056
46,0.0014036247739568353
47,0.001316774869337678
48,0.0019805210176855326
49,0.0022986477706581354
50,0.0014273237902671099
51,0.001513714320026338
52,0.000864917878061533
53,0.0014306517550721765
54,0.001021060161292553
55,0.0009353448986075819
56,0.0015103695914149284
57,0.0015529838856309652
58,0.0023348755203187466
59,0.0018680539214983582
60,0.0012499935692176223
61,0.0017066269647330046
62,0.00106227642390877
63,0.000993797555565834
64,0.0014243768528103828
65,0.02454751543700695
66,0.001700970227830112
67,0.0010611616307869554
68,0.0013016212033107877
69,0.001329369260929525
70,0.0012495246483013034
71,0.001544891158118844
72,0.060485079884529114
73,0.0025155406910926104
74,0.0008916205842979252
75,0.0009017139091156423
76,0.0007284407038241625
77,0.03582281619310379
78,0.0009488182258792222
79,0.0019318216945976019
80,0.0011669420637190342
81,0.002175814937800169
82,0.0022470615804195404
83,0.0012437461409717798
84,0.0012876077089458704
85,0.0015153266722336411
86,0.006875429302453995
87,0.0010443133069202304
88,0.002067853696644306
89,0.0012493232497945428
90,0.0017186189070343971
91,0.00395607016980648
92,0.001108560711145401
93,0.003397712716832757
94,0.019382724538445473
95,0.0012874265667051077
96,0.004503665026277304
97,0.0013737368863075972
98,0.0010383991757407784
99,0.0015200490597635508
100,0.0024821977131068707
101,0.006841432303190231
102,0.0018728305585682392
103,0.0015462428564205766
104,0.0013448380632326007
105,0.004456914495676756
106,0.0039034869987517595
107,0.0015756025677546859
108,0.0010422862833365798
109,0.0011188725475221872
110,0.001409280812367797
111,0.0014863903634250164
112,0.0024694763123989105
113,0.001695515587925911
114,0.001396344741806388
115,0.006425793282687664
116,0.000906465807929635
117,0.017324643209576607
118,0.0011196123668923974
119,0.001138729159720242
120,0.0024124241899698973
121,0.001428644172847271
122,0.0012509289663285017
123,0.041911330074071884
124,0.0024067163467407227
125,0.0009196879109367728
126,0.0010541954543441534
127,0.0012858787085860968
128,0.0019810604862868786
129,0.0018365776631981134
130,0.00885615311563015
131,0.015768257901072502
132,0.0010616409126669168
133,0.0017263083718717098
134,0.0014588228659704328
135,0.0010333453537896276
136,0.001063949428498745
137,0.004477929323911667
138,0.005755873396992683
139,0.0009497760911472142
140,0.0015114531852304935
141,0.002023895736783743
142,0.0017787995748221874
143,0.0016635413048788905
144,0.0015990285901352763
145,0.001363345654681325
146,0.002330587012693286
147,0.0014715305296704173
148,0.0009822000283747911
149,0.0011650886153802276
150,0.0007905048551037908
151,0.0013976712943986058
152,0.05488867312669754
153,0.0013715820387005806
154,0.0012492109090089798
155,0.0011628832435235381
156,0.0016097510233521461
157,0.0012370537733659148
158,0.001685607829131186
159,0.001447230693884194
160,0.0016923942603170872
161,0.000960986246354878
162,0.05809890851378441
163,0.0009703158866614103
164,0.014827201142907143
165,0.0014666328206658363
166,0.0033036977984011173
167,0.0017009085277095437
168,0.0010189090389758348
169,0.0013034081785008311
170,0.0016060557682067156
171,0.001440386869944632
172,0.0009690829901956022
173,0.0018302167300134897
174,0.0018906452460214496
175,0.0015803456772118807
176,0.0014437757199630141
177,0.0012384855654090643
178,0.0008848428260535002
179,0.00104894966352731
180,0.0014434760669246316
181,0.0013961094664409757
182,0.003289798740297556
183,0.0013278189580887556
184,0.0016901249764487147
185,0.001025104196742177
186,0.0009299368830397725
187,0.004859607666730881
188,0.018331097438931465
189,0.001289448351599276
190,0.002241092501208186
191,0.002157118869945407
192,0.001567835221067071
193,0.04352407157421112
194,0.0013223576825112104
195,0.0010443833889439702
196,0.0019782802555710077
197,0.015021649189293385
198,0.0010158668737858534
199,0.0019217068329453468
